optionID,optionDescription,price,quantity,extendedPrice
G10060003,French Door Counter Depth Refrgerator PYE22PSHSS,1320,1,1320
G10060010,"Upgrade to 30"" 5-Burner Gas Cooktop",620,1,620
G20060001,Side by Side Refrigerator GE25GHSS,1460,1,1460
G20060002,French Door Std Depth Refrigerator GFE28HSHSS,3640,1,3640
G20060010,"Upgrade to 30"" 5-Burner Gas Cooktop",513.3333333,3,1540
G30060003,French Door Counter Depth Refrgerator PYE22PSHSS,2460,1,2460
G30060010,"Upgrade to 30"" 5-Burner Gas Cooktop",490,2,980
G40060010,"Upgrade to 30"" 5-Burner Gas Cooktop",610,2,1220
P20087000,Kitchen - Add Black Trash Compactor,980.72,1,980.72
P20087005,Kitchen - Upgrade stove to Black Electric Double Oven,773.65,1,773.65
P50087010,"Upgrade Hood to Stainless 30"" Wall Mount w/ Extension",585,1,585
P70060010,"Upgrade to 30"" 5-Burner Gas Cooktop",520,1,520
ZGBL60001,Included Level - Standard Kitchen Layout,0,5,0
ZGBL60001,Side by Side Refrigerator GSE25GSHSS,1180,3,3540
ZGBL60002,French Door Std Depth Refrigerator GFE28HSHSS,1915.714286,14,26820
ZGBL60003,French Door Counter Depth Refrgerator PYE22PSHSS,1650,11,18150
ZGBL60003,French Door Counter Depth Refrgerator PYE22KSKSS,2532.105263,19,48110
ZGBL60010,"Upgrade to 30"" 5-Burner Gas Cooktop",496.4705882,17,8440
ZGBL87015,Upgrade Kitchen Range to JB860SJSS,561.75,4,2247
ZGBL87015,Upgrade Kitchen Range to JB860SJSS (Electric),573.4615385,13,7455
ZGBL87016,Upgrade Kitchen Range to JGB860SJSS (Gas),813.6666667,9,7323
ZGBL87020,Upgrade Dishwasher to GDT580SSFSS,159.8571429,14,2238
ZGBL87020,Upgrade Dishwasher to GDT655SSJSS,220,57,12540
ZGBL87020,Upgrade Dishwasher to GDT665SSNSS,277.7777778,27,7500
ZGBL87030,Level 1 - Washer & Dryer,1062,2,2124
ZGBL87032,Level 3 - Washer & Dryer,2190,1,2190
ZGBL87035,Upgrade Microwave to Advantium 240V,1930.7,10,19307
ZGBL87040,Change Std Deluxe Hood to S.S. Chimney Hood,408.7804878,41,16760
ZGBL87045,"Deluxe: Upgrade to 30"" JT5000SFSS Single Convection Wall Oven",718,5,3590
ZGBL87050,"Std Kitchen: Upgrade to 30"" JB700SJSS Free Standing Convection Electri",140,1,140
ZGBL87055,"Std Kitchen: Upgrade to 30"" PGB911SEJSS Convection Gas Range",420,1,420
ZGBL87065,Upgrade Standard Kitchen Range to Slate,50,1,50
ZGBL87070,Upgrade Standard OTR Microwave to Slate,20,1,20
ZGBL87075,Upgrade Standard Dishwasher to Slate,35,2,70
ZGBL87080,Upgrade Under Cabinet Hood to Slate,87.5,2,175
